arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	identityMbid	identityCorrect	latinName	requests	ms	detail
control	B3	album	deezer	ALBUM_ART	MATCH	Кино	DeezerAlbumResult(id=54717452, title=Группа крови, artistName=Кино, coverSmall=https://cdn-images.dzcdn.net/images/cover/b39e82e1e4fdaf3f08ae582e8c9565cd/56x56-000000-80-0-0.jpg, coverMedium=https://cdn-images.dzcdn.net/images/cover/b39e82e		false		1	327	conf=0.8
control	B3	album	itunes	ALBUM_ART	REJECT				false		1	2410	NotFound
control	B3	album	discogs	ALBUM_ART	MATCH	Кино	DiscogsRelease(title=Кино - Группа Крови, label=Maschina Records, year=2019, country=Russia, coverImage=https://i.discogs.com/8oCUpaCydS3GJLJ-fNqk0xJJKdvABTheGJ9TVdGgYCU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9		false		1	338	conf=0.8
control	B4	album	deezer	ALBUM_ART	REJECT				false		1	331	NotFound
control	B4	album	itunes	ALBUM_ART	REJECT				false		1	2341	NotFound
control	B4	album	discogs	ALBUM_ART	REJECT				false		1	294	NotFound
control	B5	album	deezer	ALBUM_ART	REJECT				false		1	409	NotFound
control	B5	album	itunes	ALBUM_ART	REJECT				false		1	2308	NotFound
control	B5	album	discogs	ALBUM_ART	REJECT				false		1	354	NotFound
control	C1	track	deezer	TRACK_METADATA	REJECT				false		2	1024	NotFound
control	C2	track	deezer	TRACK_METADATA	REJECT				false		2	1227	NotFound
control	C3	track	deezer	TRACK_METADATA	MATCH	Кино	DeezerTrackSearchResult(id=448260732, title=Группа крови, artistName=Кино, previewUrl=https://cdnt-preview.dzcdn.net/api/1/1/a/d/e/0/adeeb096e9baeb6c8e4760b8572acffa.mp3?hdnea=exp=1788547251~acl=/api/1/1/a/d/e/0/adeeb096e9baeb6c8e4760b8572a		false		1	629	conf=0.8
control	C4	track	deezer	TRACK_METADATA	REJECT				false		2	1111	NotFound
control	C5	track	deezer	TRACK_METADATA	REJECT				false		2	1083	NotFound
TOTALS	44	api.deezer.com=19,api.discogs.com=12,itunes.apple.com=13
